"","Scientificname","Family","Order","Class","NODCCODE","Commonname","Troph","DietTroph","Polar","Boreal","Temperate","Subtropical"
"1","Scarus coelestinus","Scaridae","Perciformes","Actinopterygii","8839030102","Midnight Parrotfish",2.03,2.03,0,-1,-1,-2
"2","Scarus coeruleus","Scaridae","Perciformes","Actinopterygii","8839030101","Blue Parrotfish",NA,NA,0,-1,-2,-2
"3","Scarus iseri","Scaridae","Perciformes","Actinopterygii","8839030103","Striped Parrotfish",2,2,0,-1,-1,-2
"4","Scarus guacamaia","Scaridae","Perciformes","Actinopterygii","8839030104","Rainbow Parrotfish",2,2,0,-1,-2,-2
"5","Scarus taeniopterus","Scaridae","Perciformes","Actinopterygii","8839030105","Princess Parrotfish",2.02,2.02,0,-1,-1,-2
"6","Scarus vetula","Scaridae","Perciformes","Actinopterygii","8839030106","Queen Parrotfish",2.05,NA,0,-1,-1,-2
"7","Sparisoma aurofrenatum","Scaridae","Perciformes","Actinopterygii","8839030402","Redbanned Parrotfish",2.02,2.02,0,-1,-1,-2
"8","Sparisoma chrysopterum","Scaridae","Perciformes","Actinopterygii","8839030403","Redtail Parrotfish",2,2,0,-1,-1,-2
"9","Sparisoma rubripinne","Scaridae","Perciformes","Actinopterygii","8839030405","Redfin Parrotfish",2,2,0,-1,-2,-2
"10","Sparisoma viride","Scaridae","Perciformes","Actinopterygii","8839030406","Spotlight Parrotfish",2,NA,0,-1,-1,-2
"11","Cryptotomus roseus","Scaridae","Perciformes","Actinopterygii","8839030201","Bluelip Parrotfish",NA,NA,0,-1,-1,-2
"12","Sparisoma atomarium","Scaridae","Perciformes","Actinopterygii","8839030401","Green Blotch Parrotfish",NA,NA,0,-1,-1,-2
"13","Sparisoma radians","Scaridae","Perciformes","Actinopterygii","8839030404","Bucktooth Parrotfish",2,2,0,-1,-1,-2
